COURSE,SECTION,SECTION_TITLE,SIS_SESSION,ACTIVITY_TYPE,CRSE_ID,CRSE_OFFER_NBR,SECTION_SOURCED_ID,SECTION_TITLE,TERM,CLASS_NBR,COUNT_COMBINED_SECTIONS
CLAS6119,901,Grad Independent Study,B,IND,103328,1,103328-01-2211-B-901-19292,Grad Independent Study,20211,19292,
CLAS6119,902,Grad Independent Study,B,IND,103328,1,103328-01-2211-B-902-19293,Grad Independent Study,20211,19293,
CLAS7840,901,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-901-19322,Grad Independent Study,20211,19322,
CLAS7840,902,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-902-19323,Grad Independent Study,20211,19323,
CLAS7840,904,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-904-19324,Grad Independent Study,20211,19324,
CLAS7840,903,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-903-19325,Grad Independent Study,20211,19325,
CLAS7840,905,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-905-19326,Grad Independent Study,20211,19326,
CLAS7840,906,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-906-19327,Grad Independent Study,20211,19327,
CLAS7840,907,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-907-19328,Grad Independent Study,20211,19328,
CLAS7840,908,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-908-19329,Grad Independent Study,20211,19329,
CLAS7840,909,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-909-19330,Grad Independent Study,20211,19330,
CLAS7840,910,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-910-19331,Grad Independent Study,20211,19331,
CLAS7840,911,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-911-19332,Grad Independent Study,20211,19332,
CLAS7840,912,Grad Independent Study,B,IND,103341,1,103341-01-2211-B-912-19333,Grad Independent Study,20211,19333,
CLAS8992,901,Doctoral Dissertation,B,DIS,103345,1,103345-01-2211-B-901-19335,Doctoral Dissertation,20211,19335,
CLAS8992,902,Doctoral Dissertation,B,DIS,103345,1,103345-01-2211-B-902-19336,Doctoral Dissertation,20211,19336,
CLAS8992,903,Doctoral Dissertation,B,DIS,103345,1,103345-01-2211-B-903-19337,Doctoral Dissertation,20211,19337,
CLAS8992,904,Doctoral Dissertation,B,DIS,103345,1,103345-01-2211-B-904-19338,Doctoral Dissertation,20211,19338,
CLAS8992,905,Doctoral Dissertation,B,DIS,103345,1,103345-01-2211-B-905-19339,Doctoral Dissertation,20211,19339,
